7830,"Approved Cross-institutional Studies (Winter Term, 2020)"
7645,"International Exchange (6cp) (Semester 2, 2020)"
7645,"International Exchange (6cp) (Semester 1, 2020)"
7644,"International Exchange (3cp) (Semester 2, 2020)"
7644,"International Exchange (3cp) (Semester 1, 2020)"
7643,"International Exchange (3cp) (Semester 2, 2020)"
7643,"International Exchange (3cp) (Semester 1, 2020)"
7642,"International Exchange (3cp) (Semester 2, 2020)"
7642,"International Exchange (3cp) (Semester 1, 2020)"
6845,"International Exchange (12cp) (Semester 2, 2020)"
6845,"International Exchange (12cp) (Semester 1, 2020)"
6844,"International Exchange (9cp) (Semester 2, 2020)"
6844,"International Exchange (9cp) (Semester 1, 2020)"
6843,"International Exchange (6cp) (Semester 2, 2020)"
6843,"International Exchange (6cp) (Semester 1, 2020)"
6994,"Nursing Honours Thesis PT: Part A (Semester 2, 2020)"
7830,"Approved Cross-institutional Studies (Semester 2, 2020)"
7830,"Approved Cross-institutional Studies (Semester 1, 2020)"
5875,"Doctoral Thesis in Economics D:PT (Research Semester 2, 2020)"
5875,"Doctoral Thesis in Economics D:PT (Research Semester 1, 2020)"
11451,"Advocacy and Communication PG (Semester 1, 2020)"
9307,"UC Preparation Scheme (UC College Trimester 2, 2020)"
9307,"UC Preparation Scheme (UC College Trimester 1, 2020)"
7830,"Approved Cross-institutional Studies (Summer Semester, 2019/20)"
6994,"Nursing Honours Thesis PT: Part A (Semester 2, 2020)"
6994,"Nursing Honours Thesis PT: Part A (Semester 1, 2020)"
11470,"Law Reform and Social Change PG (Semester 2, 2020)"
7624,Master of Applied Science Research Thesis Type 2 (36cp)…
7624,Master of Applied Science Research Thesis Type 2 (36cp)…
7623,Master of Applied Science Research Thesis Type 1 (48cp)…
7623,Master of Applied Science Research Thesis Type 1 (48cp)…
10126,"Current Issues in Society (UC College Trimester 3, 2020)"
10126,"Current Issues in Society (UC College Trimester 1, 2020)"
6432,"Government in a Market Economy: ANZSOG (Teaching Period 2, 2020)"
6430,Designing Public Policies and Programs: ANZSOG (Teaching Period…
8630,Master of Applied Science Research Thesis Type 2 (36cp) PT…
8630,Master of Applied Science Research Thesis Type 2 (36cp) PT…
8629,Master of Applied Science Research Thesis Type 1 (48cp) PT…
8629,Master of Applied Science Research Thesis Type 1 (48cp) PT…
10407,"UC Connect (Semester 2, 2020)"
10407,"UC Connect (UC College Trimester 1, 2020)"
10113,"Professional Ethics PG (Semester 1, 2020)"
9301,"Nutrition and Dietetics Internship PG (Practice 7, 2020)"
9301,"Nutrition and Dietetics Internship PG (Practice 12, 2020)"
9301,"Nutrition and Dietetics Internship PG (Practice 11, 2020)"
9301,"Nutrition and Dietetics Internship PG (Practice 10, 2020)"
8703,"Doctoral Thesis in Health R: FT (72cp) (Research Semester 2,…"
8702,"Doctoral Thesis in Health R: PT (72cp) (Research Semester 2,…"
