code,unit,title,major
MUSC1050,2,Music in Society 1,Music
MUSC1600,2,Musicianship 1,Music
MUSC2051,2,Music in Society 2,Music
MUSC2060,2,Musicianship 2,Music
MUSC2510,2,Music in Society 3,Music
MUSC2501,2,Music History - Medieval/Renaissance,Music
MUSC2640,2,Introduction to Musical Analysis,Music
MUSC2710,2,"Music in War, Protest and Peace",Music
MUSC3560,2,Historical Performance Practice,Music
MUSC3600,2,Counterpoint,Music
MUSC3540,2,"Music Communication, Writing and Critique",Music
MUSC1050,2,Music in Society 1,Music
MUSC1600,2,Musicianship 1,Music
MUSC2051,2,Music in Society 2,Music
MUSC2060,2,Musicianship 2,Music
MUSC2510,2,Music in Society 3,Music
MUSC2800,2,World Music,Music
MUSC2810,2,Indigenous Australian Music: Indigenous music-making in Australia,Music
MUSC3160,2,Choral Conducting,Music
MUSC3170,2,Instrumental Conducting,Music
MUSC3840,2,Multi-Instrumental Pedagogy A,Music
MUSC3850,2,Multi-Instrumental Pedagogy B,Music
MUSC3890,2,Creative Music Making,Music
MUSC1300,2,Introduction to Music Psychology,Music Psychology
MUSC2300,2,Music and Human Behaviour,Music Psychology
MUSC3340,2,"Music, Cognition & Development",Music Psychology
MUSC2310,2,"Music, Wellbeing and Health",Music Psychology
PSYC1020,2,"Introduction to Psychology: Minds, Brains and Behaviour",Music Psychology
POLS1501,2,Introduction to Peace & Conflict Analysis,Peace and Conflict Studies
POLS1301,2,Introduction to Political Ideas,Peace and Conflict Studies
POLS1701,2,Introduction to International Inequality & Development,Peace and Conflict Studies
POLS2515,2,Theories of Peace and Conflict Studies,Peace and Conflict Studies
POLS2222,2,Humanitarianism in World Politics,Peace and Conflict Studies
POLS2404,2,The Political Dynamics of Development and Resistance,Peace and Conflict Studies
POLS2503,2,Conflict & Nonviolent Change,Peace and Conflict Studies
POLS2603,2,Gender and Global Politics,Peace and Conflict Studies
MUSC2710,2,"Music in War, Protest and Peace",Peace and Conflict Studies
POLS2101,2,Indigenous Politics & Policy,Peace and Conflict Studies
POLS2207,2,Terrorism & Insurgency in World Politics,Peace and Conflict Studies
POLS2211,2,International Organisations & Political Cooperation,Peace and Conflict Studies
POLS2703,2,Principles of Research: Social and Comparative Perspectives,Peace and Conflict Studies
POLS3802,2,Independent Study,Peace and Conflict Studies
RELN2310,2,"Religion, Peace and Violence",Peace and Conflict Studies
POLS3511,2,The Politics of Peacebuilding,Peace and Conflict Studies
POLS3115,2,Environmental Politics & Policy,Peace and Conflict Studies
POLS3203,2,Power and Order in Transnational Politics,Peace and Conflict Studies
POLS3502,2,Ethics in International Politics,Peace and Conflict Studies
POLS3512,2,"Global Media, War and Peace",Peace and Conflict Studies
POLS3801,2,Internship,Peace and Conflict Studies
POLS3807,2,Policy Practice,Peace and Conflict Studies
POLS1501,2,Introduction to Peace & Conflict Analysis,Peace and Conflict Studies
POLS1301,2,Introduction to Political Ideas,Peace and Conflict Studies
POLS1701,2,Introduction to International Inequality & Development,Peace and Conflict Studies
POLS2515,2,Theories of Peace and Conflict Studies,Peace and Conflict Studies
POLS2222,2,Humanitarianism in World Politics,Peace and Conflict Studies
POLS2404,2,The Political Dynamics of Development and Resistance,Peace and Conflict Studies
POLS2503,2,Conflict & Nonviolent Change,Peace and Conflict Studies
POLS2603,2,Gender and Global Politics,Peace and Conflict Studies
MUSC2710,2,"Music in War, Protest and Peace",Peace and Conflict Studies
POLS2101,2,Indigenous Politics & Policy,Peace and Conflict Studies
POLS2207,2,Terrorism & Insurgency in World Politics,Peace and Conflict Studies
POLS2211,2,International Organisations & Political Cooperation,Peace and Conflict Studies
POLS2703,2,Principles of Research: Social and Comparative Perspectives,Peace and Conflict Studies
POLS3802,2,Independent Study,Peace and Conflict Studies
RELN2310,2,"Religion, Peace and Violence",Peace and Conflict Studies
POLS3511,2,The Politics of Peacebuilding,Peace and Conflict Studies
POLS3115,2,Environmental Politics & Policy,Peace and Conflict Studies
POLS3203,2,Power and Order in Transnational Politics,Peace and Conflict Studies
POLS3502,2,Ethics in International Politics,Peace and Conflict Studies
POLS3512,2,"Global Media, War and Peace",Peace and Conflict Studies
POLS3801,2,Internship,Peace and Conflict Studies
POLS3807,2,Policy Practice,Peace and Conflict Studies
PHIL1002,2,Introduction to Philosophy: What is Philosophy?,Philosophy
PHIL1013,2,Introduction to Ethics,Philosophy
PHIL1110,2,Critical Reasoning,Philosophy
