output
                Global Food and Nutrition Security - AGEN3003                                            Year: 2019                                
                Indigenous Land and Food Knowledge - AGEN3008                                            Year: 2019                                
                Food Product Development - AGEN3001                                            Year: 2019                                
                Flavour and Sensory Analysis - AGEN3005                                            Year: 2019                                
                Industry Internship - AGEN3002                                            Year: 2019                                
                Sports Coaching: Theory and Practice - EDGU1005                                            Year: 2019                                
                Teaching English for Academic Purposes - EDGU4000                                            Year: 2019                                
                Teaching English Internationally 1 - EDGU2000                                            Year: 2019                                
                Youth and Digital Culture - EDGU1002                                            Year: 2019                                
                Teaching English Internationally 2 - EDGU3000                                            Year: 2019                                
                Diet and Nutrition for Health and Sport - EDGU1003                                            Year: 2019                                
                Texts and Expectations - EDGU1006                                            Year: 2019                                
"                Creativity, Youth Culture and the Arts - EDGU1001                                            Year: 2019                                "
"                Young People, Sex and Sexual Health - EDGU1004                                            Year: 2019                                "
                Inventing the Future - INFC7000                                            Year: 2019                                
                Clinical Science - AMED3888                                            Year: 2019                                
                Research Project C - AMED4105                                            Year: 2019                                
                Clinical Science - AMED3004                                            Year: 2019                                
                Scientific Analysis and Communication - AMED4102                                            Year: 2019                                
                Research Project A - AMED4103                                            Year: 2019                                
                Diagnostics and Biomarkers (Advanced) - AMED3903                                            Year: 2019                                
                Research Project F - AMED4108                                            Year: 2019                                
                Interrogating Biomedical and Health Data - AMED3002                                            Year: 2019                                
                Diagnostics and Biomarkers - AMED3003                                            Year: 2019                                
                Cancer (Advanced) - AMED3901                                            Year: 2019                                
                Research Skills and Processes - AMED4101                                            Year: 2019                                
                Research Project D - AMED4106                                            Year: 2019                                
                Cancer - AMED3001                                            Year: 2019                                
                Research Project E - AMED4107                                            Year: 2019                                
                Advanced Studies in Cancer Biology - AMED4001                                            Year: 2019                                
                Research Project B - AMED4104                                            Year: 2019                                
                World Religions Honours A - WREL4011                                            Year: 2019                                
                World Religions Honours D - WREL4014                                            Year: 2019                                
                World Religions Honours B - WREL4012                                            Year: 2019                                
                World Religions Honours C - WREL4013                                            Year: 2019                                
                Australian Lithic Technology (Project 1) - ARCO3401                                            Year: 2019                                
                Archaeozoology (Project 2) - ARCO3402                                            Year: 2019                                
                Early States in Bronze Age Western Asia - ARCO2010                                            Year: 2019                                
                Archaeology Honours Thesis 1 - ARCO4201                                            Year: 2019                                
                Ancient Greece - ARCO2007                                            Year: 2019                                
                Ancient China Unearthed - ARCO3006                                            Year: 2019                                
                Archaeology Honours Thesis 2 - ARCO4202                                            Year: 2019                                
                Ancient Italy: Etruscans and Romans - ARCO2008                                            Year: 2019                                
                Minoans and Mycenaeans - ARCO3007                                            Year: 2019                                
                Industry and Community Project - ARCO3998                                            Year: 2019                                
                Ancient People: Hunters and Farmers - ARCO1000                                            Year: 2019                                
                Ancient Mobility to Modern Megalopolis - ARCO2105                                            Year: 2019                                
                Interdisciplinary Impact - ARCO3999                                            Year: 2019                                
